Review Date,Show,Headline,Article Link,Star Rating
2024/aug/17,Hamlet,deconstructed take on the Danish prince centres people with Down’s syndrome,https://www.theguardian.com/stage/article/2024/aug/17/hamlet-review-downs-syndrome-lyceum-edinburgh,3/5
2024/aug/17,Rollercoaster,fizzy tricks and funky escapades from a master of juggling,https://www.theguardian.com/stage/article/2024/aug/17/rollercoaster-review-fizzy-tricks-and-funky-escapades-from-a-master-of-juggling,3/5
2024/aug/17,Rose Matafeo: On and On and On,a star-crossed love life laid hilariously bare,https://www.theguardian.com/stage/article/2024/aug/17/rose-matafeo-on-and-on-and-on-review-pleasance-courtyard-edinburgh,4/5
2024/aug/17,I Am the Boss,squabbling siblings’ hijinks at Edinburgh fringe,https://www.theguardian.com/stage/article/2024/aug/17/i-am-the-boss-review-assembly-george-square-gardens-edinburgh-circus-taiwan-season,3/5
2024/aug/16,Garry Starr: Classic Penguins,brilliantly ticklish riff on a stack of literary tomes,https://www.theguardian.com/stage/article/2024/aug/16/garry-starr-classic-penguins-review-pleasance-courtyard-edinburgh,4/5
2024/aug/16,Sawdust Symphony,a surreal circus where stagecraft meets woodcraft,https://www.theguardian.com/stage/article/2024/aug/16/sawdust-symphony-review-zooside-southside-edinburgh,4/5
2024/aug/16,Willy’s Candy Spectacular,even the Sad Oompa Loompa can’t save this parody,https://www.theguardian.com/stage/article/2024/aug/16/willys-candy-spectacular-a-musical-parody-review-pleasance-dome-edinburgh,1/5
2024/aug/16,Utøya,the view from outside a Norwegian tragedy,https://www.theguardian.com/stage/article/2024/aug/16/utoya-review-edoardo-erba-arcola-theatre-london,2/5
2024/aug/16,Burning Down the Horse,entertaining ancient Greek antics,https://www.theguardian.com/stage/article/2024/aug/16/burning-down-the-horse-review-pleasance-dome-edinburgh,3/5
2024/aug/15,Peanut Butter and Blueberries,politics complicates student romance,https://www.theguardian.com/stage/article/2024/aug/15/peanut-butter-and-blueberries-review-kiln-theatre,3/5
2024/aug/15,Antony and Cleopatra,bilingual BSL staging adds intimacy and clarity,https://www.theguardian.com/stage/article/2024/aug/15/antony-and-cleopatra-review-shakespeare-globe-bilingual-british-sign-language,3/5
2024/aug/15,Stevie Martin: Clout,ingenious and silly tech-comedy,https://www.theguardian.com/stage/article/2024/aug/15/stevie-martin-clout-review-monkey-barrel-edinburgh,4/5
2024/aug/14,L’Addition,superbly absurd comedy is waitering for Godot,https://www.theguardian.com/stage/article/2024/aug/14/l-addition-review-bert-and-nasi-summerhall-edinburgh,4/5
2024/aug/14,The Sex Lives of Puppets,kaleidoscope of carnality with no strings attached,https://www.theguardian.com/stage/article/2024/aug/14/the-sex-lives-of-puppets-review-kaleidoscope-of-carnality-with-no-strings-attached,3/5
2024/aug/13,Lou Wall: The Bisexual’s Lament,diary of despair with a list of 69 things to laugh about,https://www.theguardian.com/stage/article/2024/aug/13/lou-wall-the-bisexuals-lament-review,3/5
2024/aug/13,How I Learned to Swim,a dive into the deep waters of Black aquatic history,https://www.theguardian.com/stage/article/2024/aug/13/how-i-learned-to-swim-review-roundabout-summerhall-edinburgh-somebody-jones,4/5
